code,label,营业收入(万元),营业成本(万元),营业利润(万元),利润总额(万元),所得税费用(万元),净利润(万元),基本每股收益,货币资金(万元),应收账款(万元),存货(万元),流动资产合计(万元),固定资产净额(万元),资产总计(万元),流动负债合计(万元),非流动负债合计(万元),负债合计(万元),所有者权益(或股东权益)合计(万元),期初现金及现金等价物余额(万元),经营活动产生的现金流量净额(万元),投资活动产生的现金流量净额(万元),筹资活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),期末现金及现金等价物余额(万元)
002579,1,"48,270","40,229","1,881","2,067",135,"1,932",0.08,"6,006","13,326","6,849","30,699","60,827","105,598","38,510","3,987","42,498","63,101","3,947","1,170","-15,722","14,700",145,"4,092"
002601,1,"263,453","214,686","12,579","13,566","1,671","11,896",0.57,"56,266","34,378","61,505","212,005","193,292","576,104","314,032","26,278","340,310","235,794","38,748","-56,193","-33,856","98,861","10,117","48,865"
300486,1,"39,611","27,480","6,111","6,246",835,"5,411",0.52,"8,484","22,859","13,647","52,020","9,270","67,516","28,617","1,027","29,643","37,873","7,683",689,"-1,171","-1,140","-1,623","6,060"
002162,1,"84,539","58,481","1,563","2,690","1,268","1,422",0.03,"13,110","14,910","38,661","78,735","67,552","222,483","117,034","24,088","141,122","81,361","12,099","3,525","5,567","-9,104",36,"12,135"
002202,1,"1,770,422","1,291,846","205,232","210,899","25,547","185,351",0.68,"1,010,761","1,076,103","364,958","2,809,489","816,492","4,577,733","2,231,976","823,056","3,055,032","1,522,701","427,630","282,938","-167,474","413,492","524,753","952,383"
000971,1,"15,741","10,356",970,958,698,260,0.01,"24,662","7,986",0,"35,905","3,530","178,043","14,264",838,"15,101","162,941","1,394",-285,"-47,987","71,500","23,228","24,622"
300114,1,"91,690","61,816","11,089","11,617","1,424","10,193",0.45,"32,385","27,725","33,002","106,487","28,032","165,536","37,358","3,268","40,626","124,910","23,944","7,438","-5,471","6,474","8,441","32,385"
002394,1,"339,158","269,284","40,476","43,646","12,137","31,509",0.94,"37,444","37,249","53,541","277,133","123,610","429,046","72,658","84,568","157,226","271,820","112,365","62,224","-118,357","-19,685","-75,574","36,791"
000759,1,"1,690,902","1,337,942","28,852","25,861","7,477","18,384",0.27,"111,493","10,078","191,493","361,473","371,448","885,534","518,125","62,699","580,824","304,711","140,037","34,710","-61,218","-2,035","-28,543","111,493"
601177,1,"176,565","140,294","-5,795","1,986",371,"1,615",0.05,"16,971","40,080","92,121","172,888","110,533","392,080","146,020","62,027","208,047","184,032","16,631","15,253","-13,675","-4,327","-2,772","13,859"
