code,label,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%)
002500,1,0.23,--,--,"195,919","79,251","79,251","28,054",565,"79,817","58,629","58,208","225,267","531,217","2,749,740",--,"1,961,850",--,"733,835",8.25,2.13,--,2.67,68.87,--,--,--,7.99,35.52,11.35,3.25,--,--,35.86,-13.74,--,--,--,--,71.35,--,28.65,--,"2,235.07",249.00,--,--,53.36,349.00,0.00,--,1.28,--,138.53,7.55,66.65,--,--,--,--,--,--,--,--,--,--,0.08,3.84,0.11,--
300478,1,0.92,4.86,0.26,"57,296","12,831","4,901",--,352,"5,253","4,615","4,304","1,290","-1,329","42,132","29,404","17,834","17,834","24,298",20.81,10.95,22.39,11.93,10.08,8.55,77.25,8.05,18.99,131.36,27.03,15.59,22.75,13.37,6.70,244.26,1.65,1.48,27.53,693.15,42.33,--,57.67,--,395.18,73.40,--,--,75.89,52.38,73.40,--,14.59,5.98,7.17,18.92,19.56,4.22,85.28,15.37,11.60,1.48,23.42,243.06,2.02,178.13,0.02,0.03,0.28,0.07,7.23
002202,1,0.68,--,--,"1,770,422","469,854","205,232","55,980","5,667","210,899","182,968","173,355","282,938","524,753","4,577,733","2,809,489","3,055,032","2,231,976","1,476,779",13.00,4.05,26.54,4.63,13.11,11.59,72.97,10.47,12.39,98.21,17.38,5.78,27.03,17.42,29.23,222.79,1.26,1.10,45.56,504.19,66.74,1.04,33.26,13.16,186.49,200.63,83.21,28.34,91.15,116.13,186.13,160.05,17.84,43.84,327.44,10.40,33.19,1.83,197.25,3.88,3.11,0.44,92.69,814.85,0.75,481.80,0.16,0.06,1.53,0.09,12.68
600758,1,0.06,--,--,"26,084","4,182","1,570",--,340,"1,909","1,292","1,256","5,985","1,272","80,238","14,856","46,180","26,174","34,058",3.83,1.61,16.03,1.67,7.78,6.02,83.53,4.95,3.79,118.69,72.37,30.72,16.47,10.16,17.78,219.04,0.57,0.48,39.19,"3,371.73",57.55,-0.44,42.45,6.23,59.75,135.59,167.40,12.80,70.93,191.97,91.53,240.90,71.04,-1.65,-26.43,2.00,8.37,8.57,42.01,8.43,0.45,0.34,42.69,"1,064.77",2.12,169.50,0.23,0.07,4.63,0.13,22.87
600745,1,0.05,--,--,"162,305","29,093","11,583",-3,"-1,119","10,464","1,689",294,"-92,822","58,072","717,525","413,557","346,935","266,988","260,368",1.30,0.71,17.93,0.75,6.75,7.14,74.15,3.12,0.65,26.81,3.50,1.81,25.85,13.42,-10.73,278.05,1.55,0.31,26.61,313.22,48.35,0.53,51.65,10.80,400.42,93.62,67.84,17.30,92.14,82.02,92.96,171.76,12.90,-31.45,-51.42,93.57,13.24,44.78,8.04,0.39,2.18,0.24,929.99,"1,498.75",0.43,846.86,-0.57,-0.13,-18.33,-0.27,-34.77
000038,1,-0.51,--,--,"21,319","-2,211","-5,081",--,-692,"-5,773","-4,934","-4,467","1,635","1,634","68,329","67,441","53,650","52,705","10,983",-36.68,-8.04,-10.37,-8.06,-23.24,-23.83,95.49,-25.78,-44.92,-56.56,-37.08,-7.97,4.51,6.11,11.98,38.31,1.28,0.11,6.72,"155,919.70",78.52,--,21.48,--,"180,498.16",365.49,--,--,13.27,6.05,359.05,--,0.01,26.57,"-1,990.36",-27.24,0.35,--,--,0.33,"2,057.85",0.31,"1,087.28","1,151.63",0.32,"1,139.24",0.08,0.02,--,0.03,3.10
002401,1,0.17,--,--,"55,481","8,378","5,811",-62,367,"6,177","5,107","4,767","-1,983","-5,092","105,068","71,792","37,569","37,565","66,979",7.93,5.06,15.10,5.31,12.43,10.47,82.11,9.57,7.63,25.59,11.50,7.39,17.89,4.67,4.94,135.62,1.91,1.73,129.63,-165.08,35.76,--,64.24,--,"2,103.72",55.66,--,--,56.72,49.30,55.65,--,3.05,0.88,9.44,8.37,10.43,5.14,70.08,6.47,16.97,0.55,55.60,649.59,0.79,457.96,-0.04,-0.02,-0.37,-0.05,-5.28
300119,1,0.07,4.15,0.33,"58,520","34,481","2,075",-8,"1,853","3,929","2,713","1,344","12,837",-153,"198,294","90,233","25,723","18,716","161,491",1.68,1.46,58.92,1.45,7.00,3.55,40.52,4.93,1.68,42.98,9.69,8.44,59.48,54.90,46.98,877.64,4.82,4.06,220.07,-432.56,12.97,--,87.03,--,510.42,14.91,--,--,70.95,62.62,10.85,--,17.05,-22.48,-81.16,0.32,-1.01,1.96,183.40,1.85,1.80,0.29,194.93,"1,226.16",0.59,608.52,0.22,0.06,4.45,0.50,68.59
002512,1,0.29,--,--,"76,068","31,821","14,179",337,"1,014","15,193","10,179","9,964","-1,699","-15,044","226,844","84,226","62,218","56,567","140,952",7.22,5.70,37.99,5.89,23.89,18.64,61.02,17.00,7.22,85.73,18.45,13.39,38.98,21.59,8.89,190.23,1.49,1.22,49.95,"2,224.70",27.43,--,72.57,--,384.09,37.79,--,--,71.07,86.63,34.36,--,18.89,38.44,20.23,-4.32,7.00,2.73,131.97,3.34,2.09,0.35,107.89,"1,038.36",0.88,409.28,-0.02,-0.01,-0.13,-0.03,-3.00
300239,1,0.02,1.72,-0.06,"25,105","4,639",369,--,280,649,489,238,"-1,224","-4,144","53,057","30,242","19,001","16,951","34,056",1.42,0.92,18.48,0.93,2.62,1.47,81.23,1.95,1.44,34.01,19.73,12.66,18.77,17.08,43.13,714.63,1.78,0.85,29.67,185.63,35.81,--,64.19,--,164.58,55.80,--,--,76.86,66.99,49.78,--,39.00,-34.30,-88.54,-3.11,2.11,5.70,63.13,1.51,1.22,0.48,239.11,752.98,0.85,425.88,-0.05,-0.02,-2.50,-0.06,-7.22
